id,neighbourhood,property_type,room_type,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,category,TV,Internet,Air_conditioning,Kitchen,Heating,Wifi,Elevator,Breakfast
51917088,Brooklyn,Entire rental unit,Entire home/apt,40.68435,-73.91605,5,1.0,3.0,3.0,186,2,1,0,0,1,0,1,0,0
51917224,Manhattan,Entire rental unit,Entire home/apt,40.74571,-73.98325,8,1.0,4.0,4.0,329,2,1,0,1,1,1,1,0,0
51917637,Manhattan,Entire rental unit,Entire home/apt,40.76453,-73.99156,5,1.0,3.0,4.0,300,2,1,0,1,1,1,1,0,0
51917769,Manhattan,Room in hotel,Private room,40.75076,-73.99443,1,1.0,1.0,1.0,85,0,1,0,0,0,1,1,0,0
51918355,Brooklyn,Private room in serviced apartment,Private room,40.61483,-73.95494,1,1.0,1.0,1.0,29,0,1,0,0,1,0,1,0,0
51918655,Brooklyn,Entire rental unit,Entire home/apt,40.64968,-73.95285,6,1.0,2.0,2.0,140,1,1,0,1,1,0,1,0,0
51918710,Manhattan,Entire rental unit,Entire home/apt,40.78139,-73.94592,4,1.0,2.0,2.0,258,2,0,0,1,1,0,1,0,0
51919233,Manhattan,Entire rental unit,Entire home/apt,40.72102,-73.99179,2,1.0,1.0,1.0,165,1,1,0,1,0,1,1,1,0
51919307,Manhattan,Entire rental unit,Entire home/apt,40.72254,-73.99133,2,1.0,1.0,1.0,165,1,1,0,1,0,1,1,1,0
51919774,Brooklyn,Private room in rental unit,Private room,40.67238,-73.95331,2,1.5,1.0,1.0,99,1,1,0,1,1,0,1,0,0
51919784,Brooklyn,Entire rental unit,Entire home/apt,40.64966,-73.95113,6,1.0,2.0,2.0,140,1,1,0,1,1,0,1,0,0
51920189,Brooklyn,Entire condominium (condo),Entire home/apt,40.68717,-73.94132,4,1.0,1.0,1.0,300,2,1,0,1,1,1,1,0,0
51920454,Brooklyn,Entire rental unit,Entire home/apt,40.675686,-73.885605,2,1.0,1.0,1.0,111,1,1,0,0,0,0,1,0,0
51920836,Brooklyn,Private room in townhouse,Private room,40.6415,-73.95387,1,1.0,1.0,1.0,55,0,1,0,0,0,1,0,0,0
51921047,Manhattan,Room in boutique hotel,Private room,40.7509,-73.9848,2,1.0,1.0,1.0,405,3,1,0,1,0,1,1,1,1
51921552,Brooklyn,Entire condominium (condo),Entire home/apt,40.69715,-73.92489,2,1.0,1.0,1.0,100,1,1,0,1,1,1,1,0,0
51922861,Brooklyn,Entire rental unit,Entire home/apt,40.71243,-73.95473,3,1.0,2.0,2.0,321,2,1,0,1,1,0,1,0,0
51922961,Queens,Private room in residential home,Private room,40.69625,-73.76608,1,2.0,1.0,1.0,50,0,1,0,1,1,1,1,0,0
51924483,Brooklyn,Private room in rental unit,Private room,40.68731,-73.95558,1,1.5,1.0,1.0,50,0,0,0,1,1,0,1,0,0
51924622,Manhattan,Room in hotel,Private room,40.74881,-73.99661,2,1.0,1.0,1.0,140,1,1,0,0,0,1,1,0,0
51924634,Manhattan,Room in boutique hotel,Private room,40.75108,-73.99601,2,1.0,1.0,1.0,140,1,1,0,0,0,1,1,0,0
51926710,Manhattan,Entire rental unit,Entire home/apt,40.79513,-73.96596,5,1.0,2.0,2.0,225,2,1,0,1,1,1,1,1,0
51926956,Manhattan,Entire rental unit,Entire home/apt,40.72092,-73.99181,2,1.0,1.0,1.0,169,1,1,0,1,0,1,1,1,0
51927035,Manhattan,Entire rental unit,Entire home/apt,40.72093,-73.99225,2,1.0,1.0,1.0,165,1,1,0,1,0,1,1,1,0
51927288,Manhattan,Room in boutique hotel,Private room,40.75111,-73.98303,2,1.0,1.0,1.0,405,3,1,0,1,0,1,1,1,1
51927357,Manhattan,Room in boutique hotel,Private room,40.74982,-73.98278,2,1.0,1.0,1.0,405,3,1,0,1,0,1,1,1,1
51927457,Manhattan,Entire rental unit,Entire home/apt,40.72097,-73.99324,2,1.0,1.0,1.0,165,1,1,0,1,0,1,1,1,0
51927550,Manhattan,Entire rental unit,Entire home/apt,40.72252,-73.99355,2,1.0,1.0,1.0,165,1,1,0,1,0,1,1,1,0
51927775,Queens,Entire condominium (condo),Entire home/apt,40.76155,-73.81965,4,2.0,2.0,3.0,169,1,0,0,1,1,0,1,1,0
51927974,Queens,Entire rental unit,Entire home/apt,40.70149,-73.87643,4,1.0,1.0,1.0,203,2,1,0,0,1,0,1,0,0
51930030,Queens,Private room in residential home,Private room,40.72703,-73.71439,2,1.0,1.0,1.0,100,1,1,0,0,1,0,0,0,0
51931637,Queens,Entire rental unit,Entire home/apt,40.71955,-73.84381,4,1.0,1.0,1.0,115,1,1,0,1,1,1,1,1,0
51933590,Brooklyn,Entire rental unit,Entire home/apt,40.6743,-73.98095,2,1.0,1.0,1.0,112,1,1,0,1,1,1,1,0,0
51935625,Manhattan,Entire rental unit,Entire home/apt,40.77777,-73.97583,5,2.0,2.0,3.0,495,3,1,0,0,1,0,1,0,0
51936285,Bronx,Entire rental unit,Entire home/apt,40.80539,-73.92287,7,1.0,3.0,3.0,300,2,1,0,1,1,0,1,0,0
51939606,Brooklyn,Entire condominium (condo),Entire home/apt,40.68711,-73.87407,4,1.0,2.0,2.0,161,1,1,0,0,1,0,0,0,0
51940555,Manhattan,Entire condominium (condo),Entire home/apt,40.78335,-73.9714,2,1.0,1.0,1.0,223,2,0,0,1,1,0,0,0,0
51940938,Brooklyn,Private room in rental unit,Private room,40.69455,-73.92962,2,1.0,1.0,1.0,60,0,1,0,1,1,0,1,0,0
51942005,Queens,Private room in rental unit,Private room,40.77276,-73.91832,2,0.0,1.0,1.0,55,0,1,0,1,1,0,1,0,0
51942167,Manhattan,Entire rental unit,Entire home/apt,40.744286,-73.97187,5,2.0,2.0,2.0,398,2,1,0,1,1,1,1,1,0
51943758,Brooklyn,Private room in loft,Private room,40.6921,-73.92682,6,1.0,2.0,3.0,400,2,1,0,1,1,1,1,1,0
51943950,Manhattan,Entire rental unit,Entire home/apt,40.72088,-73.99333,4,1.0,1.0,2.0,244,2,1,0,1,0,1,1,1,0
51944137,Manhattan,Entire rental unit,Entire home/apt,40.72074,-73.99268,2,1.0,1.0,1.0,169,1,1,0,1,0,1,1,1,0
51944428,Manhattan,Entire rental unit,Entire home/apt,40.72306,-73.99178,2,1.0,1.0,1.0,165,1,1,0,1,0,1,1,1,0
51944588,Manhattan,Entire rental unit,Entire home/apt,40.72308,-73.99138,2,1.0,1.0,1.0,166,1,1,0,1,0,1,1,1,0
51944672,Manhattan,Entire rental unit,Entire home/apt,40.72222,-73.99357,2,1.0,1.0,1.0,165,1,1,0,1,0,1,1,1,0
51944693,Queens,Entire residential home,Entire home/apt,40.74395,-73.90858,8,1.0,1.0,5.0,203,2,1,0,1,1,1,1,0,0
51944735,Manhattan,Entire rental unit,Entire home/apt,40.72261,-73.99169,2,1.0,1.0,1.0,201,2,1,0,1,0,1,1,1,0
51944756,Queens,Private room in rental unit,Private room,40.76142,-73.92144,2,1.0,1.0,1.0,93,1,1,0,1,1,0,1,0,0
51944795,Manhattan,Entire rental unit,Entire home/apt,40.72076,-73.99215,2,1.0,1.0,1.0,201,2,1,0,1,0,1,1,1,0
51944937,Manhattan,Entire rental unit,Entire home/apt,40.72074,-73.99202,2,1.0,1.0,1.0,165,1,1,0,1,0,1,1,1,0
51945109,Manhattan,Entire rental unit,Entire home/apt,40.72085,-73.99192,2,1.0,1.0,1.0,166,1,1,0,1,0,1,1,1,0
51945222,Manhattan,Entire rental unit,Entire home/apt,40.72082,-73.99152,2,1.0,1.0,1.0,169,1,1,0,1,0,1,1,1,0
51945252,Manhattan,Entire rental unit,Entire home/apt,40.72215,-73.99347,2,1.0,1.0,1.0,201,2,1,0,1,0,1,1,1,0
51945257,Queens,Entire rental unit,Entire home/apt,40.58953,-73.81407,4,1.0,1.0,3.0,64,0,0,0,0,1,1,1,0,0
51946796,Brooklyn,Entire rental unit,Entire home/apt,40.68169,-73.90406,3,1.0,1.0,2.0,111,1,1,0,1,1,0,1,0,0
51947188,Brooklyn,Private room in rental unit,Private room,40.69464,-74.0,2,1.0,1.0,1.0,80,0,0,0,0,1,1,1,0,0
51948208,Queens,Entire residential home,Entire home/apt,40.76284,-73.88893,5,1.0,2.0,2.0,244,2,1,0,1,1,0,1,0,0
51949255,Queens,Entire rental unit,Entire home/apt,40.75773,-73.91114,3,1.0,1.0,1.0,115,1,1,0,1,1,1,1,0,0
51949504,Queens,Entire rental unit,Entire home/apt,40.75675,-73.91107,3,1.0,1.0,1.0,125,1,1,0,1,1,1,1,0,0
51950055,Brooklyn,Private room in townhouse,Private room,40.70127,-73.91805,4,2.0,2.0,2.0,97,1,0,0,1,1,1,1,0,0
51950079,Manhattan,Entire rental unit,Entire home/apt,40.77909,-73.94841,2,1.0,1.0,1.0,297,2,1,0,1,1,1,1,1,0
51953184,Manhattan,Private room in rental unit,Private room,40.75939,-73.9914,1,2.0,1.0,1.0,76,0,1,0,1,1,1,1,0,0
51953871,Manhattan,Private room in serviced apartment,Private room,40.71965,-73.99046,2,1.0,1.0,1.0,86,0,1,0,1,1,1,1,0,0
51954133,Manhattan,Private room in rental unit,Private room,40.75608,-73.98092,1,1.0,1.0,1.0,89,0,1,0,0,1,1,1,0,0
51954368,Brooklyn,Private room in rental unit,Private room,40.65612,-73.94951,1,1.0,1.0,1.0,62,0,1,0,1,1,1,1,0,0
51955986,Brooklyn,Private room in rental unit,Private room,40.69264,-73.91171,2,1.0,1.0,1.0,54,0,1,0,1,1,1,1,0,0
51956292,Manhattan,Entire loft,Entire home/apt,40.76631,-73.98789,6,2.0,2.0,3.0,471,3,1,0,1,1,1,1,1,0
51956448,Brooklyn,Private room in rental unit,Private room,40.69257,-73.91171,2,1.0,1.0,1.0,47,0,1,0,1,1,1,1,0,0
51956907,Manhattan,Entire rental unit,Entire home/apt,40.76221,-73.96007,2,1.0,1.0,1.0,305,2,1,0,1,1,1,1,1,0
51957065,Brooklyn,Private room in rental unit,Private room,40.6922,-73.91157,2,1.0,1.0,1.0,50,0,1,0,0,1,1,1,0,0
51957270,Brooklyn,Entire condominium (condo),Entire home/apt,40.71184,-73.94725,3,1.0,2.0,3.0,200,2,1,0,1,1,1,1,0,1
51959040,Brooklyn,Private room in rental unit,Private room,40.69187,-73.91097,2,1.0,1.0,1.0,47,0,1,0,1,1,1,1,0,0
51959795,Manhattan,Private room in rental unit,Private room,40.79095,-73.94793,2,1.0,1.0,1.0,48,0,1,0,0,1,0,1,0,0
51959893,Manhattan,Entire rental unit,Entire home/apt,40.74443,-73.97171,4,2.0,2.0,2.0,300,2,1,0,1,1,1,1,0,0
51960731,Queens,Private room in rental unit,Private room,40.70874,-73.73535,4,1.0,1.0,2.0,78,0,1,0,0,0,1,1,0,0
51960769,Brooklyn,Private room in rental unit,Private room,40.69527,-73.90938,1,1.0,1.0,1.0,52,0,1,0,1,1,0,1,0,0
51961006,Brooklyn,Private room in rental unit,Private room,40.69246,-73.90997,2,1.0,1.0,1.0,47,0,1,0,1,1,1,1,0,0
51961130,Manhattan,Entire rental unit,Entire home/apt,40.79618,-73.968,5,1.0,2.0,2.0,195,2,1,0,1,1,1,1,1,0
51961434,Brooklyn,Private room in rental unit,Private room,40.67916,-73.90927,3,1.0,1.0,1.0,70,0,1,0,1,1,0,1,0,0
51961727,Queens,Private room in rental unit,Private room,40.69455,-73.82899,4,3.0,1.0,1.0,160,1,1,0,1,1,0,1,0,1
51963793,Brooklyn,Private room in rental unit,Private room,40.69395,-73.91181,2,1.0,1.0,1.0,50,0,1,0,1,1,1,1,0,0
51964010,Brooklyn,Private room in rental unit,Private room,40.6417,-73.97016,1,1.0,1.0,1.0,42,0,1,0,1,1,1,1,0,1
51964133,Brooklyn,Private room in rental unit,Private room,40.69218,-73.91187,2,1.0,1.0,1.0,50,0,1,0,1,1,1,1,0,0
51964312,Brooklyn,Private room in rental unit,Private room,40.69373,-73.91178,2,1.0,1.0,1.0,57,0,1,0,1,1,1,1,0,0
51965961,Queens,Entire condominium (condo),Entire home/apt,40.67552,-73.73516,2,1.0,1.0,1.0,100,1,1,0,1,1,0,1,0,0
51966313,Brooklyn,Private room in rental unit,Private room,40.67109,-73.93402,2,1.0,1.0,1.0,99,1,0,0,0,1,0,1,0,0
51966786,Brooklyn,Entire rental unit,Entire home/apt,40.70537,-73.92515,2,2.0,1.0,1.0,150,1,0,0,1,1,1,1,0,0
51967827,Bronx,Entire serviced apartment,Entire home/apt,40.81427,-73.89873,8,1.0,3.0,3.0,125,1,1,0,1,1,0,1,0,0
51968308,Manhattan,Entire rental unit,Entire home/apt,40.76134,-73.98648,2,1.0,1.0,1.0,192,2,1,0,0,1,0,0,0,0
51969461,Brooklyn,Private room in residential home,Private room,40.68532,-73.90868,2,1.0,1.0,1.0,45,0,0,0,0,1,1,1,0,0
51970344,Bronx,Private room in residential home,Private room,40.81752,-73.88919,2,1.0,2.0,1.0,58,0,1,0,0,1,1,1,0,0
51971986,Brooklyn,Private room in rental unit,Private room,40.69101,-73.93175,1,1.0,1.0,1.0,74,0,1,0,0,1,0,1,0,0
51972225,Queens,Entire rental unit,Entire home/apt,40.74553,-73.94538,2,1.0,1.0,1.0,271,2,1,0,0,1,0,1,1,0
51974192,Manhattan,Entire rental unit,Entire home/apt,40.77246,-73.9541,5,1.0,2.0,2.0,175,1,1,0,1,1,1,1,0,0
51975190,Manhattan,Entire rental unit,Entire home/apt,40.72166,-73.98517,1,1.0,1.0,1.0,120,1,1,0,0,1,1,1,0,0
51976630,Manhattan,Entire rental unit,Entire home/apt,40.77407,-73.95386,6,2.0,3.0,3.0,300,2,1,0,1,1,1,1,0,0
51977461,Brooklyn,Private room in serviced apartment,Private room,40.65223,-73.96163,1,1.0,1.0,1.0,24,0,1,0,0,1,0,1,0,0
51978057,Manhattan,Entire condominium (condo),Entire home/apt,40.70407,-74.00583,6,1.0,3.0,3.0,395,2,1,0,0,1,0,1,0,0
51978202,Brooklyn,Entire rental unit,Entire home/apt,40.65772,-73.89141,16,5.0,12.0,13.0,763,3,1,0,1,1,1,1,0,0
51978423,Manhattan,Entire loft,Entire home/apt,40.74822,-73.9943,4,2.0,2.0,2.0,829,3,1,0,0,1,0,1,0,0
51978563,Brooklyn,Entire loft,Entire home/apt,40.69355,-73.92269,4,1.0,1.0,2.0,259,2,1,0,1,1,0,1,0,0
51979592,Manhattan,Entire rental unit,Entire home/apt,40.72172,-73.98503,1,1.0,1.0,1.0,123,1,0,0,0,1,1,1,0,0
51980003,Brooklyn,Entire rental unit,Entire home/apt,40.68752,-73.93748,2,1.0,1.0,1.0,135,1,1,0,0,1,0,1,0,0
51980527,Brooklyn,Entire residential home,Entire home/apt,40.5915,-73.92946,6,2.0,3.0,3.0,200,2,1,0,1,1,1,1,0,0
51980770,Brooklyn,Private room in rental unit,Private room,40.70434,-73.92804,1,1.0,1.0,1.0,62,0,1,0,1,1,1,1,0,0
51980852,Queens,Entire rental unit,Entire home/apt,40.58773,-73.81234,4,1.0,2.0,5.0,85,0,0,0,0,1,0,1,0,0
51980965,Queens,Entire rental unit,Entire home/apt,40.7373,-73.89628,6,1.0,2.0,3.0,139,1,1,0,1,1,1,1,0,0
51980970,Queens,Private room in rental unit,Private room,40.74816,-73.91492,2,1.0,1.0,1.0,150,1,0,0,1,1,0,1,0,0
51982018,Brooklyn,Private room in residential home,Private room,40.67767,-73.97097,2,1.0,1.0,1.0,72,0,0,0,1,1,0,1,0,0
51982952,Brooklyn,Entire serviced apartment,Entire home/apt,40.68915,-73.9441,4,1.0,2.0,2.0,162,1,0,0,1,1,0,1,0,0
51983004,Manhattan,Entire condominium (condo),Entire home/apt,40.75300375957978,-73.97239516187518,4,1.0,1.0,1.0,453,3,1,0,1,0,0,1,0,0
51983887,Manhattan,Private room in rental unit,Private room,40.7313,-74.00474,2,1.0,1.0,1.0,100,1,1,0,1,1,1,1,0,0
51985215,Queens,Private room in rental unit,Private room,40.75515,-73.91659,2,1.0,1.0,1.0,85,0,1,0,1,1,1,1,0,0
51985589,Manhattan,Entire rental unit,Entire home/apt,40.79755,-73.93353,3,1.0,1.0,1.0,126,1,1,0,1,1,0,1,0,0
51985775,Manhattan,Room in boutique hotel,Private room,40.75132,-73.98478,4,1.0,1.0,2.0,382,2,1,0,1,0,1,1,1,1
51986146,Manhattan,Room in boutique hotel,Private room,40.75132,-73.98333,4,1.0,1.0,2.0,382,2,1,0,1,0,1,1,1,1
51986202,Queens,Entire rental unit,Entire home/apt,40.70687,-73.91375,4,1.0,2.0,3.0,165,1,1,0,1,1,0,1,0,0
51986279,Manhattan,Room in boutique hotel,Private room,40.75062,-73.98474,4,1.0,1.0,2.0,377,2,1,0,1,0,1,1,1,1
51986320,Manhattan,Room in boutique hotel,Private room,40.74946,-73.98328,4,1.0,1.0,2.0,382,2,1,0,1,0,1,1,1,1
51986393,Manhattan,Room in boutique hotel,Private room,40.75127,-73.9834,4,1.0,1.0,2.0,382,2,1,0,1,0,1,1,1,1
51987334,Brooklyn,Entire rental unit,Entire home/apt,40.60997,-73.92248,4,1.0,2.0,2.0,164,1,1,0,1,1,1,1,0,0
51987693,Brooklyn,Entire condominium (condo),Entire home/apt,40.71898290429522,-73.96379857157218,4,1.0,1.0,1.0,579,3,1,0,1,1,0,1,0,0
51988167,Manhattan,Entire rental unit,Entire home/apt,40.82541,-73.93584,4,2.0,2.0,2.0,264,2,1,0,0,1,0,1,1,0
51988654,Brooklyn,Entire rental unit,Entire home/apt,40.71065,-73.95813,2,1.0,1.0,1.0,179,1,1,0,1,1,0,0,1,0
51989137,Staten Island,Entire serviced apartment,Entire home/apt,40.53777,-74.20674,2,1.0,1.0,1.0,99,1,1,0,1,1,0,1,0,0
51989166,Manhattan,Entire rental unit,Entire home/apt,40.76247,-73.99974,6,2.0,2.0,2.0,650,3,1,0,1,1,1,1,1,0
51990190,Manhattan,Private room in rental unit,Private room,40.81148,-73.94405,2,1.0,2.0,4.0,59,0,1,0,1,1,0,1,0,0
51990443,Manhattan,Private room in rental unit,Private room,40.81243,-73.94383,2,1.0,1.0,2.0,90,0,0,0,0,1,0,1,0,0
51991090,Brooklyn,Entire residential home,Entire home/apt,40.682484,-73.93924,4,1.0,2.0,2.0,168,1,1,0,0,1,0,1,0,0
51991113,Manhattan,Entire rental unit,Entire home/apt,40.81539,-73.94627,1,1.0,1.0,1.0,60,0,0,0,1,0,0,1,0,0
51992365,Queens,Entire rental unit,Entire home/apt,40.75637,-73.82586,5,1.0,2.0,2.0,215,2,1,0,1,1,1,1,0,0
51993282,Manhattan,Entire rental unit,Entire home/apt,40.776,-73.95091,2,1.0,1.0,2.0,195,2,1,0,1,1,1,1,0,0
51996545,Manhattan,Private room in rental unit,Private room,40.75978,-73.99584,2,1.0,1.0,1.0,180,1,0,0,1,1,1,1,1,0
51997965,Manhattan,Entire rental unit,Entire home/apt,40.72777,-73.98244,2,1.0,1.0,1.0,250,2,1,0,1,1,1,1,0,0
51999416,Bronx,Private room in rental unit,Private room,40.81533,-73.86377,2,1.5,1.0,1.0,72,0,1,0,0,0,1,1,0,0
51999513,Manhattan,Room in boutique hotel,Private room,40.7222,-73.99364,2,1.0,1.0,1.0,201,2,1,0,1,0,1,1,1,0
52000836,Brooklyn,Private room in rental unit,Private room,40.62615,-73.94691,5,1.0,2.0,2.0,275,2,1,0,1,1,0,1,0,0
52001672,Manhattan,Entire rental unit,Entire home/apt,40.72076,-73.99132,2,1.0,1.0,1.0,201,2,1,0,1,0,1,1,1,0
52001881,Brooklyn,Entire rental unit,Entire home/apt,40.65443,-73.96204,2,1.0,1.0,1.0,74,0,1,0,0,1,0,1,1,0
52002141,Manhattan,Private room in rental unit,Private room,40.74832,-73.98717,4,1.0,1.0,2.0,145,1,1,0,1,0,0,0,1,0
52002292,Manhattan,Entire rental unit,Entire home/apt,40.72261,-73.99347,4,1.0,1.0,2.0,240,2,1,0,1,0,1,1,1,0
52002317,Manhattan,Private room in rental unit,Private room,40.71468,-73.98874,1,2.0,1.0,1.0,88,0,0,0,1,1,1,1,0,0
52002321,Manhattan,Shared room in rental unit,Shared room,40.86286,-73.92815,2,1.0,1.0,1.0,46,0,1,0,1,1,0,1,0,0
52002873,Manhattan,Entire rental unit,Entire home/apt,40.72258,-73.99323,2,1.0,1.0,1.0,172,1,1,0,1,0,1,1,1,0
52005211,Brooklyn,Entire rental unit,Entire home/apt,40.64198,-73.91183,4,1.0,2.0,3.0,121,1,1,0,1,1,0,1,0,0
52005507,Brooklyn,Private room in residential home,Private room,40.61315,-73.95502,2,1.5,1.0,2.0,80,0,1,0,1,1,1,1,0,0
52006219,Manhattan,Private room in rental unit,Private room,40.79964,-73.95154,2,1.0,1.0,1.0,57,0,1,0,1,1,0,1,0,0
52006978,Manhattan,Private room in rental unit,Private room,40.75762,-73.99359,2,1.0,1.0,1.0,113,1,1,0,1,1,1,1,0,0
52007271,Manhattan,Entire rental unit,Entire home/apt,40.72313,-73.99302,2,1.0,1.0,1.0,169,1,1,0,1,0,1,1,1,0
52009698,Manhattan,Entire rental unit,Entire home/apt,40.71978,-73.99083,4,1.0,1.0,2.0,604,3,1,0,1,1,1,1,0,0
52009700,Manhattan,Entire rental unit,Entire home/apt,40.71904,-73.99096,4,1.0,1.0,2.0,651,3,1,0,1,1,1,1,0,0
